ft_facility_code,fi_admin_code,ft_level2,ft_level3,ft_level4,ft_level5,ft_facility_type,ft_gis_code,ft_facility_name,fi_target_births,fi_target_pw,fi_tot_pop,fi_cba,fi_cc_storage,fi_cc_delivery,fi_cc_outreach,fi_cc_none,fi_mode,fi_electricity,fi_kerosene,fi_bottled_gas,fi_solar,fn_icepack_20_rout,fn_icepack_4_rout,fn_icepack_20_supp,fn_icepack_4_supp,fi_resupp_interval,fi_reserve_stock,fi_site_floods,fi_hi_altitude,fi_site_diff_access,fi_site_robbed,fi_site_none,fi_trans_public,fi_trans_car,fi_trans_motor,fi_trans_foot,fi_trans_bicycle,fi_trans_boat,fi_trans_other,fi_access_repair,fi_cylinders,fn_nonstandard_equipment,fi_shaded,fi_heavy_clouds,fn_latitude,fn_longitude,fn_distance,fn_waste_disp_burn,fn_waste_chimney,fn_waste_incinerator,fn_waste_none,f_date_updated,fn_train_users,fn_train_staff,fn_train_vaccine_man,fn_stock_outs,fn_person_name,fn_person_mobile,fn_person_email
010021,10184,Central,Nyandarua South,Kipipiri,10184,28,,MARE MED CLINIC,967,967,25458,6110,-1,-1,0,0,2,3,3,1,0,,,,,4,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,00.24815,06.35037,12,-1,0,0,0,,,,,,,,
010022,10192,Central,Nyandarua South,Kipipiri,10192,28,,KIAMBIGO MED CINIC,87,87,2292,550,-1,-1,0,0,2,3,3,1,0,,,,,4,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,00.20114,036.30795,40,-1,0,0,0,,,,,,,,
01003,10002,Central,Gatundu,Gatundu,10002,28,,Dawa Njema Medical Clinic,74,74,1942,466,-1,0,0,0,,0,1,1,0,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-00.59640,036.56332,,0,0,0,0,,,,,,,,
01004,10009,Central,Gatundu,Kamwangi,10009,28,,St lukes Kamunyaka clinic,74,74,1942,466,-1,0,0,0,,0,1,1,0,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-00.53748,036.46737,,0,0,0,0,,,,,,,,
01005,10003,Central,Gatundu,Gatundu  South,10003,28,,uzima Medical Clinic,91,91,2400,576,-1,-1,0,0,2,3,4,3,0,3,,,,4,4,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-01.00675,036.54233,,-1,0,0,0,,,,,,,,
01006,10004,Central,Gatundu,Gatundu South,10004,22,,Executive Gituamba,74,74,1942,466,0,-1,0,0,,3,1,1,0,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-00.54402,036.51594,,-1,0,0,0,,,,,,,,
01007,10005,Central,Gatundu,Gatundu South,10005,24,,Mundoro Community Dispensary,120,120,1300,500,-1,-1,0,0,3,3,4,1,0,4,,,,4,3,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-00.57027,+036.45889,,-1,0,0,0,,,,,,,,
01008,10003,Central,Gatundu,Gatundu,10003,26,,St Gude Nursing Home,18,18,465,112,-1,0,0,0,2,3,4,1,0,4,,,,4,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-01.01034,036.54896,,-1,-1,0,0,,,,,,,,
01009,10169,Central,Nyandarua North,Oljoro-Orok,10169,28,,Muwa Medical clinic,125,125,3295,791,0,0,0,-1,4,3,4,4,0,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-00.7331,036.36392,,-1,0,0,0,,,,,,,,
01010,10012,Central,Kiambu East,Githunguri,10012,28,,Githima Medical Clinic,72,72,1889,453,-1,-1,0,0,2,0,1,1,0,16,,,,4,1,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-00.59512,036.46477,,-1,0,0,0,,,,,,,,
01011,10251,Central,Nyeri North,Mathira,10251,22,,Kiarithaini Dispensary,270,270,9540,2423,-1,-1,0,0,2,3,3,4,0,20,,,,4,2,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-00.27724,037.08470,32,-1,0,0,0,,,,,,,,
01012,10220,Central,Nyeri North,Kieni East,10220,28,,Aqua Medical clinic,250,250,6573,1578,0,-1,0,0,2,3,3,3,0,24,,,,4,2,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-00.10276,037.01220,21,-1,0,0,0,,,,,,,,
01013,10178,Central,Nyandarua North,Olkalau,10178,20,,St Teresa Medical Clinic,320,320,8412,2019,0,0,0,-1,4,3,4,4,0,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-00.20161,036.38005,,-1,0,0,0,,,,,,,,
01014,10207,Central,Nyandarua South,South Kinangop,10207,28,,Uzima Medical Clinic,411,411,8216,3533,-1,0,0,0,,0,1,1,0,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-00.46159,036.35987,,0,0,0,0,,,,,,,,
01015,10176,Central,Nyandarua North,Olkalau,10176,24,,Glasia Medical Clinic,0,0,1,0,0,0,0,-1,4,3,4,4,0,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-00.27492,036.37810,,-1,0,0,0,,,,,,,,
01016,10193,Central,Nyandarua South,North Kinangop,10193,24,,Amani Medical clinic,350,350,7000,3010,-1,-1,0,0,2,3,3,4,0,2,,,,4,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-00.35342,036.29098,7,-1,0,0,0,,,,,,,,
01017,10199,Central,Nyandarua South,South Kinangop,10199,25,,Njabini Catholic Dispensary,150,150,3000,1290,-1,-1,0,0,2,3,3,1,0,,,,,4,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-00.43818,036.39418,17,0,-1,0,0,,,,,,,,
01018,10203,Central,Nyandarua South,South Kinangop,10203,28,,Amani Medical clinic,195,195,6132,1410,-1,-1,0,0,2,3,3,1,0,,,,,4,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-00.51629,036.33893,45,-1,0,0,0,,,,,,,,
01019,10189,Central,Nyandarua South,Kipipiri,10189,22,,Leleshwa Dispensary,30,30,5006,2152,-1,0,0,0,2,0,3,1,0,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-00.27708,036.23862,42,-1,0,0,0,,,,,,,,
01020,10289,Central,Thika,Gatanga,10289,22,,Ndunyu Chege Dispensary,512,512,13470,3233,-1,-1,0,0,2,3,3,1,0,20,,,,4,4,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-00.52267,036.54744,36,0,-1,0,0,,,,,,,,
01021,10309,Central,Thika,Ruiru,10309,28,,Quality of Life,1421,1421,37395,8975,-1,-1,0,0,2,3,3,3,0,4,,,,4,4,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-01.09092,036.56004,20,0,-1,0,0,,,,,,,,
01022,10305,Central,Thika,Ruiru,10305,28,,Trinity Medical Clinic,2291,2291,60291,14470,-1,-1,0,0,2,3,3,1,0,20,,,,4,4,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-01.05500,037.01217,20,0,-1,0,0,,,,,,,,
01023,10314,Central,Thika,Thika Municipality,10314,22,,Nyajimo Medical Clinic,1421,1421,37395,8975,-1,-1,0,0,2,3,3,1,0,20,,,,4,4,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-01.04378,037.05777,5,0,-1,0,0,,,,,,,,
01024,10292,Central,Thika,Gatanga,10292,22,,Wantaga Dispensary,1421,1421,37395,8975,-1,-1,0,0,2,3,3,1,0,20,,,,4,4,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-00.67461,039.53276,46,0,-1,0,0,,,,,,,,
01025,10305,Central,Thika,Ruiru,10305,28,,Victory Revival Clinic,1421,1421,37395,8975,-1,-1,0,0,2,3,3,3,0,20,,,,4,4,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-01.12804,036.57332,32,0,-1,0,0,,,,,,,,
01026,10314,Central,Thika,Thika Municipality,10314,22,,Thika Barracks Dispensary,1421,1421,37395,8975,-1,-1,0,0,2,3,1,1,0,20,,,,4,4,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-01.04397,037.08503,5,0,-1,0,0,,,,,,,,
01027,10314,Central,Thika,Thika Municipality,10314,17,,kilimambogo Hospital,248,248,6531,1567,-1,-1,0,0,2,3,3,1,0,,,,,4,4,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-01.04175,037.14038,30,0,0,-1,0,,,,,,,,
01028,10298,Central,Thika,Ruiru,10298,16,,Ichana Wendani Hospital,57,57,1500,360,-1,-1,0,0,2,3,3,1,0,20,,,,4,4,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-01.11688,036.55554,25,0,-1,0,0,,,,,,,,
01030,11095,Nairobi,Nairobi West,Westlands,11095,28,,Sunbeam,4792,4792,95846,23003,-1,-1,0,0,2,3,1,3,0,6,,,,4,1,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-01.26452,036.75092,3,-1,0,0,0,,,,,,,,
012450,10794,Eastern,Machakos,Athi River,10794,28,,MAKADARA MEDICAL SERVICES,127,127,3333,800,-1,-1,0,0,2,3,4,4,0,1.6,,,,4,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,01.45596,036.97404,1.6,0,-1,0,0,,,,,,,,
02001,10464,Coast,Taita,Mwatate,10464,22,,Mbagha Dispensary,51,51,17332,416,-1,-1,0,0,1,0,3,1,0,20,,,,4,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-03.26623,038.18607,20,0,0,0,0,,,,,,,,
02002,10321,Coast,Kaloleni,Mariakani,10321,22,,Mariakani Barracks,0,0,1,0,0,-1,0,0,3,3,4,1,0,16,,,,4,2,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,,,0,-1,0,0,,,,,,,,
02004,10375,Coast,Kinango,Kinango,10375,22,,Nyango Dispensary,586,568,14201,3550,-1,-1,-1,0,3,0,1,1,0,1,,,,4,1,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-04.05762,038.90773,56,-1,0,0,0,,,,,,,,
02005,10447,Coast,Mombasa,Kisauni,10447,25,,Mbungoni  health centre,15,15,307,75,-1,-1,0,0,3,3,4,1,0,6,,,,4,1,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-04.01421,039.40652,5,-1,0,0,0,,,,,,,,
02006,10438,Coast,Mombasa,Island,10438,26,,Seaside Nursing Home,29,29,577,142,-1,-1,0,0,3,3,4,1,0,6,,,,4,1,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-04.03845,039.39634,2,-1,-1,0,0,,,,,,,,
02007,10447,Coast,Mombasa,Kisauni,10447,28,,Calvary Medical Clinic,138,138,2761,679,-1,-1,0,0,3,3,4,1,0,8,,,,4,1,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,,11,-1,-1,0,0,,,,,,,,
02008,10439,Coast,Mombasa,Island,10439,24,,Kenya Ports Authority Clinic,186,186,3730,918,-1,-1,0,0,3,3,4,1,0,12,,,,4,1,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-04.02988,039.39015,3,0,0,-1,0,,,,,,,,
02009,10439,Coast,Mombasa,Island,10439,24,,AAR Docks,3,3,67,16,-1,-1,0,0,3,3,4,3,0,6,,,,4,1,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-04.03625,039.39335,2,0,0,-1,0,,,,,,,,
02010,10439,Coast,Mombasa,Island,10439,24,,Guru Nanak Dispensary,128,128,2553,628,-1,-1,0,0,3,3,4,1,0,8,,,,4,1,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-04.02548,039.39245,3,0,0,-1,0,,,,,,,,
02011,10439,Coast,Mombasa,Island,10439,22,,Railway Dispensary,78,78,1554,382,-1,-1,-1,0,3,3,4,1,0,8,,,,4,1,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-04.02953,039.031,4,0,0,-1,0,,,,,,,,
02012,10451,Coast,Msambweni,Lunga Lunga,10451,22,,Mwanguda Dispensary,317,317,8349,2004,0,0,0,-1,,0,1,1,0,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-04.26398,039.11417,,0,0,0,-1,,,,,,,,
02013,10459,Coast,Msambweni,Msambweni,10459,22,,Tswaka Kidum Dispensary,180,180,3999,960,-1,-1,0,0,3,0,1,1,0,16,,,,4,4,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-04.36428,039.20974,63,-1,0,0,0,,,,,,,,
02015,10450,Coast,Msambweni,Diani,10450,22,,Zigira Community Dispensary,272,272,4706,1404,-1,-1,0,0,3,0,3,1,0,12,,,,4,4,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-04.22119,039.29410,20,-1,0,0,0,,,,,,,,
03001,10920,Eastern,Mutomo,Mutomo,10920,22,,Mikongoni,99,99,2618,628,0,0,0,-1,4,0,1,4,0,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-01.53683,038.06181,20,0,0,0,-1,,,,,,,,
03002,10916,Eastern,Mutomo,Kanziku,10916,22,,Mwanianga Dispensary,69,69,1820,437,0,0,0,-1,,0,2,4,0,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-01.54922,038.17558,,0,0,0,-1,,,,,,,,
03003,10920,Eastern,Mutomo,Mutomo,10920,22,,Mwengea Dispensary,121,121,3367,808,-1,-1,0,0,2,0,1,2,0,2,,,,1,1,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-01.47200,038.14363,10,-1,0,0,0,,,,,,,,
03004,10911,Eastern,Mutomo,Ikanga,10911,22,,Yaathi,157,157,4142,994,-1,-1,-1,0,2,0,3,3,0,4,,,,2,1,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-01.40432,038.07289,10,-1,0,0,0,,,,,,,,
03005,10913,Eastern,Mutomo,Ikutha,10913,28,,Ikutha Medical Care,77,77,2132,512,0,0,0,-1,,0,1,4,0,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-02.03980,038.10793,,0,0,0,-1,,,,,,,,
03006,10920,Eastern,Mutomo,Mutomo,10920,22,,Muamba,128,128,3367,808,0,0,-1,0,2,0,2,3,0,2,,,,1,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-01.46165,038.11200,10,-1,0,0,0,,,,,,,,
03007,10914,Eastern,Mutomo,Ikutha,10914,22,,kimweli,118,118,3272,785,0,0,0,-1,,0,3,3,0,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-02.08019,038.19802,,0,0,0,-1,,,,,,,,
03008,10916,Eastern,Mutomo,Kanziku,10916,22,,Mikongoni,254,254,7092,1702,0,-1,-1,0,2,0,2,2,0,2,,,,4,2,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-02.02959,038.17848,32,-1,0,0,0,,,,,,,,
03009,10910,Eastern,Mutomo,Ikanga,10910,22,,Ndundune Dispensary,108,108,2840,682,0,0,0,-1,4,0,2,4,0,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-01.43420,038.00064,36,0,0,0,-1,,,,,,,,
030090,10608,Eastern,Igembe,Igembe S,10608,28,,KAMA CLINIC,821,821,21612,5187,0,-1,0,0,2,3,3,3,0,6,,,,4,2,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,00.17540,037.95658,8,-1,0,0,0,,,,,,,,
030091,10600,Eastern,Igembe,Igembe C,10600,28,,THAENE MEDICAL,228,228,6000,1440,0,-1,0,0,2,3,3,3,0,,,,,4,2,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,00.23711,037.93891,2,-1,0,0,0,,,,,,,,
03010,10919,Eastern,Mutomo,Mutha,10919,22,,Kajaangu Dispensary,115,115,3224,774,0,0,0,-1,4,0,2,4,0,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,01.38422,038.26129,50,0,0,0,-1,,,,,,,,
03011,10919,Eastern,Mutomo,Mutha,10919,22,,Kyaanlo Dispensary,119,119,3324,798,0,0,0,-1,,0,2,4,0,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-01.39058,038.12482,28,0,0,0,-1,,,,,,,,
03012,10918,Eastern,Mutomo,Mutha,10918,22,,Kalambani Dispensary,177,177,4670,1121,-1,0,-1,0,2,0,2,2,0,2,,,,1,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-01.39880,038.30103,84,-1,0,0,0,,,,,,,,
03013,10917,Eastern,Mutomo,Mutha,10917,28,,Kiimani Medical Clinic,36,36,1026,246,0,0,0,-1,,0,1,4,0,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-01.51382,038.17088,,0,0,0,-1,,,,,,,,
03014,10918,Eastern,Mutomo,Mutha,10918,22,,Syamatani,128,130,3580,774,0,0,0,-1,,0,2,4,0,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-01.53362,038.25108,,0,0,0,-1,,,,,,,,
03015,10916,Eastern,Mutomo,Kanziku,10916,22,,Ekani Dispensary,118,118,3260,782,-1,0,-1,0,2,0,3,2,0,2,,,,4,2,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-01.59699,038.18883,20,0,0,0,-1,,,,,,,,
03016,10916,Eastern,Mutomo,Kanziku,10916,22,,Muthue Dispensary,194,194,5360,1286,0,0,-1,0,2,0,1,2,0,2,,,,4,2,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-01.55993,038.15817,20,-1,0,0,0,,,,,,,,
03017,10907,Eastern,Mutomo,Athi,10907,22,,Muangeni,177,177,4670,1121,0,0,0,-1,,3,4,4,0,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,-1,,,,,,,,
03018,11096,Nairobi,Nairobi West,Westlands,11096,28,,ACACIA MEDICAL CENTRE,3594,3594,71885,22572,0,0,0,0,,0,1,1,0,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,01.29617,036.80709,,0,0,0,0,,,,,,,,
03019,10920,Eastern,Mutomo,Mutomo,10920,22,,Muvuko Dispensary,155,155,4325,1038,0,0,0,-1,,0,2,4,0,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-01.56297,038.08014,,0,0,0,-1,,,,,,,,
03020,10909,Eastern,Mutomo,Athi,10909,22,,Mongwi Dispensary,74,74,2060,494,-1,0,-1,0,2,0,2,3,0,2,,,,1,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-01.59996,037.56840,88,-1,0,0,0,,,,,,,,
03021,10999,Eastern,Tigania,Tigania North,10999,28,,Macho Medical Clinic,113,113,2980,715,-1,-1,0,0,2,3,4,3,0,0,,,,2,1,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,+00.24372,037.82849,25,-1,0,0,0,,,,,,,,
03022,10997,Eastern,Tigania,Tigania East,10997,22,,CS iithu Dispensary,198,198,5200,1248,-1,-1,0,0,2,3,4,2,0,2.4,,,,4,2,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,+00.12193,037.90648,35,-1,0,0,0,,,,,,,,
03023,11002,Eastern,Tigania,Tigania West,11002,28,,Miathenge Medical Centre,144,144,2640,634,-1,-1,0,0,2,3,4,4,0,1.2,,,,2,2,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,+00.15157,037.78940,,-1,0,0,0,,,,,,,,
03024,11004,Eastern,Tigania,Tigania West,11004,24,,Akithi Medical Centre,274,274,7200,1728,-1,-1,0,0,2,3,4,3,0,3,,,,4,1,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,+00.18494,037.76628,8,-1,0,0,0,,,,,,,,
03025,11008,Eastern,Tigania,Uringu,11008,28,,Imani Medical Clinic,329,329,8646,2075,-1,-1,0,0,3,3,4,3,0,2.4,,,,4,1,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,+00.08389,037.77800,15,-1,0,0,0,,,,,,,,
03026,11004,Eastern,Tigania,Tigania West,11004,22,,Nkoro Dispensary,301,301,7927,1902,0,0,0,-1,,0,1,1,0,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,+00.18536,037.78191,,-1,0,0,0,,,,,,,,
03027,10997,Eastern,Tigania,Tigania East,10997,22,,Lanyiruu Dispensary,547,547,14400,3456,0,0,0,-1,,0,4,3,0,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,+00.26579,037.77272,,-1,0,0,0,,,,,,,,
03028,10998,Eastern,Tigania,Tigania East,10998,28,,Muthara Medical Centre,125,125,3280,787,0,-1,0,0,2,3,4,3,0,,,,,4,1,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,+00.22441,037.79877,37,-1,0,0,0,,,,,,,,
03029,10995,Eastern,Tigania,Tigania Central,10995,28,,Imani Medical Clinic,166,166,4368,1048,0,0,0,-1,,3,4,3,0,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,+00.12479,037.83286,,-1,0,0,0,,,,,,,,
03031,10999,Eastern,Tigania,Tigania North,10999,28,,Jolly Medical Clinic,12,120,2120,800,0,-1,0,0,3,3,4,3,0,2.4,,,,4,1,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,+00.24341,037.82860,3,-1,0,0,0,,,,,,,,
03032,10996,Eastern,Tigania,Tigania East,10996,22,,Ankamia Dispensary,198,198,5200,1248,0,0,0,-1,,0,1,1,0,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,+00.12585,037.87907,,0,0,0,-1,,,,,,,,
03033,10995,Eastern,Tigania,Tigania Central,10995,28,,Lucys Medical Clinic,119,119,3120,749,0,-1,0,0,2,3,4,3,0,2.4,,,,4,1,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,+00.12479,037.83286,26,-1,0,0,0,,,,,,,,
03034,10566,Eastern,Embu,Manyatta,10566,28,,St Anthony CFW Clinic,14,14,360,86,0,0,0,-1,4,3,2,2,0,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-00.40825,037.44902,17,-1,0,0,0,,,,,,,,
03035,10854,Eastern,Marsabit,Central,10854,28,,Mwangaza Medical Clinic,916,916,18328,4399,0,0,0,-1,,0,1,1,0,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,+02.32188,037.90009,,0,0,0,-1,,,,,,,,
03036,10854,Eastern,Marsabit,Central,10854,28,,Bifty Medical Clinic,916,916,18328,4399,0,0,0,-1,,0,1,1,0,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,+02.32188,037.90009,,0,0,0,-1,,,,,,,,
03037,10874,Eastern,Mbeere,Siakago,10874,20,,Kings Queens,76,76,2000,480,0,0,0,-1,,3,1,1,0,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,,2,0,-1,0,0,,,,,,,,
03038,10869,Eastern,Mbeere,Mwea,10869,22,,Kirathe Dispensary,213,213,5611,1347,0,0,0,-1,4,0,1,1,0,6,,,,,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-00.68109,037.70437,7,-1,0,0,0,,,,,,,,
-03039,10874,Eastern,Mbeere,Siakago,10874,24,,Siakago Boys,57,57,1500,360,0,0,0,-1,,3,1,1,0,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-00.53657,037.64506,6,-1,0,0,0,,,,,,,,
03040,10869,Eastern,Mbeere,Mwea,10869,22,,Gitabaka,114,114,3000,720,0,0,0,-1,,0,1,1,0,6,,,,,,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,-00.81097,037.34571,90,-1,0,0,0,,,,,,,,
